Variable,Description,URL,Category,UKB.dataset.ID,Field.ID
country_birth,Country of birth (UK/elsewhere),https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1647,Early life factors,f.1647.0.0,1647
breastfed,Breastfed as a baby,https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1677,Early life factors,f.1677.0.0,1677
body_size_10yrs_old,Comparative body size at age 10,https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1687,Early life factors,f.1687.0.0,1687
height_10yrs_old,Comparative height size at age 10,https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1697,Early life factors,f.1697.0.0,1697
handedness,Handedness (chirality/laterality),https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1707,Early life factors,f.1707.0.0,1707
part_multiple_birth,Part of a multiple birth,https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1777,Early life factors,f.1777.0.0,1777
maternal_smoking,Maternal smoking around birth,https://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1787,Early life factors,f.1787.0.0,1787
birth_weight,Birth weight,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20022,Early life factors,f.20022.0.0,20022
death_relative,"Illness, injury, bereavement, stress in last 2 years",http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6145,Stressful life events,f.6145.0.0 - f.6145.0.5,6147
death_partner,"Illness, injury, bereavement, stress in last 2 years",http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6145,Stressful life events,f.6145.0.0 - f.6145.0.5,6148
divorce,"Illness, injury, bereavement, stress in last 2 years",http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6145,Stressful life events,f.6145.0.0 - f.6145.0.5,6149
financial_difficulty,"Illness, injury, bereavement, stress in last 2 years",http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6145,Stressful life events,f.6145.0.0 - f.6145.0.5,6150
