Variable,Description,URL,Category,UKB.dataset.ID,Field.ID
hshld_income,Average total household income before tax,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=738,Household,f.738.0.0,738
employed,Current employment status,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6142,Employment,f.6142.0.0 - f.6142.0.6,6142
retired,Current employment status,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6142,Employment,f.6142.0.0 - f.6142.0.6,6142
home_maker,Current employment status,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6142,Employment,f.6142.0.0 - f.6142.0.6,6142
unemployed_disability,Current employment status,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6142,Employment,f.6142.0.0 - f.6142.0.6,6142
unemployed,Current employment status,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6142,Employment,f.6142.0.0 - f.6142.0.6,6142
volunteer,Current employment status,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6142,Employment,f.6142.0.0 - f.6142.0.6,6142
student,Current employment status,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6142,Employment,f.6142.0.0 - f.6142.0.6,6142
attendance_allowance,Attendance/disability/mobility allowance,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6146,Other sociodemographics,f.6146.0.0 - f.6146.0.2,6146
disability_allowance,Attendance/disability/mobility allowance,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6146,Other sociodemographics,f.6146.0.0 - f.6146.0.2,6146
blue_badge,Attendance/disability/mobility allowance,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6146,Other sociodemographics,f.6146.0.0 - f.6146.0.2,6146
private_healthcare,Private healthcare,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=4674,Other sociodemographics,f.4674.0.0,4674
father_alzheimers,Illnesses of father,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20107,Family medical history,f.20107.0.0 - f.20107.0.9,20107
father_severe_depression,Illnesses of father,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20107,Family medical history,f.20107.0.0 - f.20107.0.9,20107
father_parkinsons,Illnesses of father,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20107,Family medical history,f.20107.0.0 - f.20107.0.9,20107
father_diabetes,Illnesses of father,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20107,Family medical history,f.20107.0.0 - f.20107.0.9,20107
father_high_blood_pressure,Illnesses of father,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20107,Family medical history,f.20107.0.0 - f.20107.0.9,20107
father_bronchitis_emphysema,Illnesses of father,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20107,Family medical history,f.20107.0.0 - f.20107.0.9,20107
father_prostate_cancer,Illnesses of father,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20107,Family medical history,f.20107.0.0 - f.20107.0.9,20107
father_bowel_cancer,Illnesses of father,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20107,Family medical history,f.20107.0.0 - f.20107.0.9,20107
father_lung_cancer,Illnesses of father,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20107,Family medical history,f.20107.0.0 - f.20107.0.9,20107
father_stroke,Illnesses of father,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20107,Family medical history,f.20107.0.0 - f.20107.0.9,20107
father_heart_disease,Illnesses of father,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20107,Family medical history,f.20107.0.0 - f.20107.0.9,20107
mother_alzheimers,Illnesses of mother,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20110,Family medical history,f.20110.0.0 - f.20110.0.10,20110
mother_severe_depression,Illnesses of mother,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20110,Family medical history,f.20110.0.0 - f.20110.0.10,20110
mother_parkinsons,Illnesses of mother,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20110,Family medical history,f.20110.0.0 - f.20110.0.10,20110
mother_diabetes,Illnesses of mother,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20110,Family medical history,f.20110.0.0 - f.20110.0.10,20110
mother_high_blood_pressure,Illnesses of mother,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20110,Family medical history,f.20110.0.0 - f.20110.0.10,20110
mother_bronchitis_emphysema,Illnesses of mother,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20110,Family medical history,f.20110.0.0 - f.20110.0.10,20110
mother_breast_cancer,Illnesses of mother,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=20110,Family medical history,f.20110.0.0 - f.20110.0.10,20110
