Variable,Description,URL,Levels,Category,UKB dataset ID,Field ID,Notes,Description,Years collected,UKB Assessment,UKB Category
own_or_rent,Own or rent accommodation lived in,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=680,,Household,f.680.0.0,680,,,2006-2010,ACE/Touchscreen,Household
gas_hob_heat,Gas or solid-fuel cooking/heating,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6139,,Household,f.6139.0.0 - f.6139.0.2,6139,,,2006-2010,ACE/Touchscreen,Household
gas_fire_heat,Gas or solid-fuel cooking/heating,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6139,,Household,f.6139.0.0 - f.6139.0.2,6139,,,,,
open_fire_heat,Gas or solid-fuel cooking/heating,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6139,,Household,f.6139.0.0 - f.6139.0.2,6139,,,,,
gas_central_heat,Heating type(s) in home,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6140,,Household,f.6140.0.0 - f.6140.0.5,6140,,,2006-2010,ACE/Touchscreen,Household
electric_storage_heat,Heating type(s) in home,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6140,,Household,f.6140.0.0 - f.6140.0.5,6140,,,,,
oil_central_heat,Heating type(s) in home,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6140,,Household,f.6140.0.0 - f.6140.0.5,6140,,,,,
portable_gas_heat,Heating type(s) in home,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6140,,Household,f.6140.0.0 - f.6140.0.5,6140,,,,,
solid_fuel_heat,Heating type(s) in home,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6140,,Household,f.6140.0.0 - f.6140.0.5,6140,,,,,
open_fire_no_central_heat,Heating type(s) in home,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6140,,Household,f.6140.0.0 - f.6140.0.5,6140,,,,,
years_at_address,Length of time at current address,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=699,,Household,f.699.0.0,699,,,2006-2010,ACE/Touchscreen,Household
hshld_number,Number in household,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=709,,Household,f.709.0.0,709,,,2006-2010,ACE/Touchscreen,Household
hshld_partner,How are people in household related to participant,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6141,,Household,f.6141.0.0 - f.6141.0.7,6141,,,2006-2010,ACE/Touchscreen,Household
hshld_children,How are people in household related to participant,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6141,,Household,f.6141.0.0 - f.6141.0.7,6141,,,,,
hshld_siblings,How are people in household related to participant,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6141,,Household,f.6141.0.0 - f.6141.0.7,6141,,,,,
hshld_parents,How are people in household related to participant,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6141,,Household,f.6141.0.0 - f.6141.0.7,6141,,,,,
hshld_grandparent,How are people in household related to participant,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6141,,Household,f.6141.0.0 - f.6141.0.7,6141,,,,,
hshld_grandchild,How are people in household related to participant,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6141,,Household,f.6141.0.0 - f.6141.0.7,6141,,,,,
hshld_other_related,How are people in household related to participant,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6141,,Household,f.6141.0.0 - f.6141.0.7,6141,,,,,
hshld_other_unrelated,How are people in household related to participant,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6141,,Household,f.6141.0.0 - f.6141.0.7,6141,,,,,
hshld_vehicles,Number of vehicles in household,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=728,,Household,f.728.0.0,728,,,2006-2010,ACE/Touchscreen,Household
hshld_income,Average total household income before tax,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=738,,Household,f.738.0.0,738,,,2006-2010,ACE/Touchscreen,Household
education_college,Qualifications,http://biobank.ndph.ox.ac.uk/showcase/field.cgi?id=6138,,Education,f.6138.0.0 - f.6138.0.5,6138,,,2006-2010,ACE/Touchscreen,Education
